Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
 ,9.19,6.13,6.12,1.82,6.12, ,4.06,4.08,6.1, , ,4.07, , ,4.08,9.17,6.11, , ,6.11,4.07,6.12,9.16,6.12, , ,4.08,4.06,9.16,2.71,2.72,1.82, ,4.07, , ,6.11, , , ,4.08, ,9.19,9.16,6.11,9.16,6.12, ,4.07,9.16, ,6.12, , ,6.11, , ,4.06,2.72,2.72,4.08,9.17,6.11, ,4.07,6.12,6.12,6.13,4.07, ,6.11, ,9.18,9.17, ,6.12,2.72,6.11,4.08,6.11,4.08,4.08,6.11, ,9.19,9.16,6.11, ,4.07,6.12,6.12,6.11,6.11,4.08, ,4.07,1.81, ,4.08
 ,7.35,4.9,7.34,2.18,7.34, ,4.87,4.9,4.88, , ,4.88, , ,4.9,7.34,4.89, , ,7.33,3.26,7.34,10.99,7.34, , ,3.26,4.87,10.99,2.17,2.18,1.46, ,3.26, , ,4.89, , , ,3.26, ,11.03,7.33,7.33,7.33,4.9, ,4.88,7.33, ,4.9, , ,4.89, , ,4.87,3.26,3.26,3.26,7.34,4.89, ,4.88,7.34,7.34,7.36,4.88, ,4.89, ,7.34,11.0, ,4.9,2.18,4.89,4.9,4.89,3.26,4.9,7.33, ,11.03,7.33,7.33, ,4.88,7.34,4.9,7.33,7.33,4.9, ,3.26,1.45, ,4.9
 ,8.82,3.92,5.87,2.62,8.81, ,5.84,5.88,5.86, , ,5.86, , ,5.88,8.81,5.87, , ,5.86,2.61,5.87, ,8.81, , ,3.91,3.9, ,1.74,1.74,1.17, ,3.91, , ,5.87, , , ,3.91, , ,8.8,8.8,8.8,5.88, ,5.86,8.8, ,5.88, , ,5.87, , ,3.9,3.91,2.61,3.91,8.81,5.87, ,5.86,8.81,8.81,8.83,5.86, ,3.91, ,8.81, , ,5.88,1.74,3.91,5.88,5.87,3.91,5.88,5.86, , ,8.8,5.86, ,5.86,8.81,5.88,8.8,8.8,3.92, ,3.91,1.74, ,5.88
 ,7.06,3.14,4.7,3.14,10.57, ,4.67,7.06,7.03, , ,7.03, , ,4.7,10.57,7.04, , ,4.69,3.13,7.04, ,10.57, , ,4.69,4.68, ,2.09,2.09,0.94, ,4.69, , ,7.04, , , ,3.13, , ,10.56,10.56,10.56,4.7, ,7.03,10.56, ,4.7, , ,4.7, , ,3.12,3.13,3.13,3.13,7.05,4.7, ,7.03,10.57,7.05,7.06,7.03, ,3.13, ,10.57, , ,4.7,2.09,4.69,7.06,4.7,4.69,4.7,4.69, , ,10.56,7.03, ,7.03,10.57,7.06,7.04,7.04,3.14, ,3.13,1.39, ,7.06
 ,5.65,2.51,5.64,2.51, , ,3.74,8.47,8.44, , ,8.44, , ,3.76, ,8.45, , ,5.63,3.76,5.63, , , , ,5.63,5.62, ,1.67,1.67, , ,3.75, , ,8.45, , , ,2.5, , , , , ,3.76, ,8.44, , ,5.64, , ,5.64, , ,2.5,3.76,3.76,2.5,8.46,5.64, ,8.44, ,5.64,5.65,8.44, ,3.76, , , , ,5.64,1.67,5.63,8.47,3.76,3.75,5.64,3.75, , , ,5.62, ,8.44, ,8.47,8.45,8.45,3.77, ,2.5,1.67, ,8.47
 ,6.78,2.01,4.51,2.01, , ,4.49,10.16,6.75, , ,10.13, , ,3.01, ,10.14, , ,6.76,4.51,4.5, , , , ,6.76,6.74, ,2.0,1.34, , ,3.0, , ,6.76, , , ,2.0, , , , , ,4.51, ,10.13, , ,4.51, , ,6.77, , ,3.0,4.51,3.01,2.0,10.15,4.51, ,6.75, ,6.77,6.78,10.13, ,3.01, , , , ,4.51,2.0,6.76,6.78,4.51,4.5,6.77,4.5, , , ,6.74, ,6.75, ,6.78,6.76,10.14,4.52, ,3.0,1.34, ,6.78
 ,8.14,1.61,3.61,1.61, , ,3.59, ,8.1, , , , , ,3.61, , , , ,8.11,5.41,5.4, , , , ,5.41,8.09, ,2.4,1.61, , ,3.6, , ,8.11, , , ,1.6, , , , , ,3.61, , , , ,3.61, , ,8.12, , ,3.6,5.41,3.61,2.4, ,5.41, ,8.1, ,5.42,5.42, , ,3.61, , , , ,3.61,2.4,8.11,5.42,3.61,5.4,8.12,3.6, , , ,5.39, ,5.4, ,5.42,8.11, ,3.62, ,3.6,1.07, ,5.42
 ,9.77,1.93,4.33,1.29, , ,4.31, ,6.48, , , , , ,4.33, , , , ,9.73,6.49,6.48, , , , ,6.49,6.47, ,2.88,1.93, , ,4.32, , ,9.73, , , ,1.92, , , , , ,4.33, , , , ,4.33, , ,6.5, , ,4.32,4.33,4.33,1.92, ,6.49, ,9.72, ,4.34,6.5, , ,2.89, , , , ,2.89,1.92,9.73,6.5,4.33,6.48,9.74,4.32, , , ,4.31, ,4.32, ,6.5,6.49, ,2.9, ,2.88,0.86, ,6.5
 ,7.82,1.54,3.46,1.03, , ,5.17, ,5.18, , , , , ,5.2, , , , ,7.78,7.79,5.18, , , , ,7.79,7.76, ,2.3,2.32, , ,3.46, , ,11.68, , , ,2.3, , , , , ,5.2, , , , ,3.46, , ,7.8, , ,5.18,3.46,3.46,1.54, ,7.79, ,11.66, ,3.47,5.2, , ,2.31, , , , ,3.47,2.3,11.68,5.2,5.2,5.18,11.69,5.18, , , ,3.45, ,5.18, ,5.2,7.79, ,3.48, ,2.3, , ,7.8
 ,9.38,1.85,4.15,1.24, , ,6.2, ,6.22, , , , , ,6.24, , , , ,9.34,9.35,4.14, , , , ,6.23,9.31, ,1.84,1.86, , ,2.77, , , , , , ,2.76, , , , , ,6.24, , , , ,2.77, , ,9.36, , ,6.22,2.77,4.15,1.23, ,9.35, , , ,2.78,4.16, , ,2.77, , , , ,4.16,2.76, ,6.24,4.16,6.22, ,6.22, , , ,4.14, ,4.14, ,6.24,6.23, ,2.78, ,1.84, , ,9.36
