Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3.3,3.3,2.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,2.7,3.3,3.3,3.3,2.7,3.3,2.7,3.3,3.3,3.3,2.7,3.3,2.7,3.3,2.7,3.3,3.3,3.3,3.3,3.3,2.7,3.3,3.3,3.3,2.7,3.3,2.7,2.7,3.3,3.3,3.3,3.3,2.7,3.3,3.3,3.3,3.3,2.7,2.7,2.7,3.3,3.3,2.7,2.7,2.7,3.3,3.3,3.3,2.7,3.3,3.3,3.3,2.7,3.3,3.3,3.3,2.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,2.7,3.3,2.7,3.3,3.3,2.7,3.3,2.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,2.7,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
3.63,3.63,2.97,2.97,2.97,3.63,2.97,2.97,3.63,2.97,2.97,2.43,3.63,2.97,2.97,2.43,3.63,2.43,3.63,2.97,2.97,2.97,3.63,2.97,2.97,2.97,2.97,3.63,2.97,2.97,2.97,2.43,2.97,3.63,2.97,2.97,2.97,2.97,2.97,2.97,3.63,2.97,3.63,2.97,2.97,3.63,3.63,3.63,2.97,2.43,2.43,2.97,2.97,2.97,2.43,2.43,2.97,3.63,2.97,2.97,3.63,3.63,3.63,2.97,3.63,2.97,3.63,2.43,2.97,2.97,3.63,3.63,3.63,3.63,2.97,2.97,3.63,2.43,3.63,2.97,2.97,3.63,2.43,3.63,3.63,2.97,2.97,3.63,3.63,2.97,2.97,3.63,2.97,2.97,3.63,3.63,2.97,3.63,3.63,3.63
3.27,3.27,3.27,2.67,2.67,3.27,2.67,3.27,3.27,2.67,2.67,2.67,3.27,2.67,3.27,2.19,3.99,2.19,3.27,3.27,2.67,3.27,3.99,2.67,3.27,2.67,3.27,3.27,3.27,2.67,2.67,2.19,3.27,3.27,3.27,3.27,3.27,2.67,3.27,2.67,3.27,3.27,3.99,3.27,3.27,3.27,3.99,3.99,3.27,2.67,2.67,2.67,3.27,3.27,2.19,2.19,3.27,3.99,3.27,2.67,3.99,3.99,3.99,2.67,3.27,3.27,3.99,2.67,2.67,3.27,3.99,3.99,3.99,3.27,3.27,2.67,3.27,2.19,3.99,3.27,2.67,3.99,2.67,3.99,3.99,3.27,3.27,3.27,3.27,2.67,3.27,3.99,2.67,2.67,3.27,3.99,3.27,3.27,3.27,3.27
2.94,3.6,2.94,2.94,2.94,3.6,2.94,2.94,3.6,2.94,2.4,2.94,2.94,2.94,3.6,1.97,3.59,2.41,3.6,2.94,2.4,2.94,3.59,2.94,3.6,2.94,2.94,2.94,3.6,2.94,2.4,1.97,3.6,3.6,2.94,2.94,2.94,2.94,3.6,2.94,2.94,2.94,3.59,3.6,3.6,3.6,4.39,4.39,3.6,2.94,2.4,2.4,3.6,2.94,2.41,2.41,2.94,3.59,2.94,2.4,4.39,3.59,4.39,2.94,2.94,2.94,3.59,2.94,2.94,2.94,4.39,4.39,4.39,2.94,3.6,2.94,2.94,2.41,4.39,3.6,2.4,3.59,2.4,4.39,3.59,2.94,2.94,3.6,2.94,2.94,3.6,4.39,2.94,2.4,3.6,4.39,2.94,3.6,3.6,3.6
3.23,3.24,2.65,3.23,3.23,3.96,3.23,3.23,3.96,2.65,2.16,2.65,2.65,3.23,3.24,2.17,3.23,2.65,3.96,2.65,2.16,2.65,3.95,3.23,3.24,2.65,3.23,2.65,3.24,3.23,2.16,2.17,3.96,3.24,2.65,2.65,2.65,2.65,3.96,3.23,3.23,2.65,3.95,3.96,3.96,3.24,4.83,3.95,3.96,3.23,2.64,2.64,3.24,3.23,2.65,2.65,2.65,3.23,3.23,2.16,3.95,3.95,3.95,3.23,3.23,2.65,3.95,2.65,3.23,2.65,4.83,3.95,4.83,3.23,3.24,2.65,2.65,2.65,4.83,3.24,2.64,3.95,2.64,3.95,3.23,2.65,3.23,3.24,2.65,2.65,3.24,3.95,3.23,2.64,3.96,3.95,2.65,3.24,3.24,3.96
3.55,3.56,2.92,3.55,3.55,3.56,3.55,3.55,3.56,2.38,1.94,2.92,2.92,2.91,2.92,1.95,3.55,2.92,4.36,2.92,2.38,2.92,4.35,3.55,3.56,2.92,2.91,2.38,2.92,3.55,1.94,2.39,4.36,2.92,2.92,2.92,2.38,2.38,3.56,3.55,3.55,2.92,3.55,4.36,4.36,3.56,5.31,3.55,3.56,2.91,2.38,2.9,3.56,3.55,2.38,2.92,2.38,2.91,3.55,1.94,4.35,4.35,4.35,3.55,3.55,2.92,4.35,2.92,2.91,2.38,4.35,4.35,5.31,3.55,3.56,2.38,2.92,2.92,5.31,3.56,2.38,4.35,2.9,3.55,3.55,2.92,3.55,3.56,2.92,2.92,3.56,4.35,2.91,2.9,4.36,4.35,2.92,2.92,3.56,4.36
3.19,3.92,3.21,3.91,3.19,3.2,3.91,3.19,3.2,2.14,1.75,2.63,2.63,2.62,3.21,1.75,3.91,2.63,3.92,3.21,2.62,3.21,4.79,3.91,3.2,3.21,3.2,2.62,3.21,3.19,2.13,2.15,3.92,3.21,3.21,2.63,2.14,2.14,3.2,3.19,3.19,2.63,3.91,3.92,3.92,3.92,5.84,3.91,3.2,3.2,2.62,3.19,3.92,3.19,2.14,2.63,2.14,2.62,3.19,2.13,4.79,4.79,4.79,3.91,3.19,2.63,4.79,3.21,2.62,2.14,4.79,4.79,5.84,3.19,3.2,2.14,2.63,3.21,4.78,3.92,2.62,3.91,2.61,3.91,3.91,2.63,3.91,3.92,2.63,2.63,3.2,3.91,3.2,2.61,3.92,4.79,2.63,3.21,3.92,3.92
3.51,3.53,3.53,4.3,3.51,3.52,4.3,2.87,2.88,2.35,1.93,2.89,2.37,2.36,3.53,1.93,4.3,2.89,4.31,3.53,2.88,3.53,5.27,4.3,2.88,2.89,2.88,2.88,3.53,3.51,1.92,2.37,3.53,3.53,3.53,2.37,1.93,2.35,3.52,2.87,2.87,2.89,3.52,3.53,4.31,4.31,5.26,3.52,2.88,2.88,2.88,3.51,4.31,2.87,2.35,2.37,2.35,2.88,2.87,1.92,4.31,5.27,5.27,4.3,3.51,2.89,5.27,2.89,2.88,2.35,4.31,4.31,6.42,2.87,2.88,2.35,2.89,3.53,5.26,4.31,2.88,4.3,2.35,3.52,4.3,2.37,3.52,3.53,2.37,2.37,2.88,3.52,2.88,2.35,4.31,5.27,2.37,2.89,4.31,4.31
3.86,3.18,3.88,3.87,3.16,3.17,3.87,3.16,3.17,2.11,1.74,3.18,2.13,2.6,3.18,1.74,4.73,2.6,4.74,3.18,3.17,3.88,5.8,3.87,3.17,3.18,3.17,3.17,3.88,3.16,1.73,2.13,3.18,3.88,3.88,2.13,1.74,2.59,3.87,3.16,3.16,3.18,3.17,3.18,3.88,4.74,4.73,3.87,3.17,3.17,2.59,3.86,3.88,2.58,2.59,2.13,2.59,3.17,2.58,1.73,3.88,4.74,4.74,4.73,3.16,2.6,5.8,2.6,3.17,2.11,3.88,4.74,7.06,3.16,2.59,2.59,3.18,3.88,4.73,3.88,3.17,4.73,2.11,3.17,4.73,2.13,3.87,3.18,2.61,2.61,3.17,3.17,2.59,2.11,3.88,5.8,2.13,3.18,3.88,4.74
