Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7.7,6.3,6.3,7.7,6.3,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,6.3,7.7,7.7,6.3,7.7,6.3,6.3,7.7,6.3,6.3,7.7,7.7,7.7,6.3,6.3,6.3,6.3,7.7,7.7,7.7,7.7,7.7,6.3,6.3,7.7,7.7,7.7,7.7,7.7,6.3,7.7,7.7,7.7,6.3,6.3,6.3,6.3,6.3,7.7,6.3,6.3,6.3,7.7,7.7,6.3,6.3,7.7,7.7,7.7,6.3,6.3,7.7,6.3,6.3,6.3,6.3,7.7,6.3,6.3,6.3,7.7,7.7,6.3,6.3,6.3,6.3,7.7,6.3,7.7,7.7,7.7,7.7,7.7,6.3,7.7,7.7,6.3,7.7,7.7,6.3,7.7,7.7,7.7,7.7,6.3
6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.93,8.47,6.93,6.93,8.47,8.47,6.93,5.67,8.47,6.93,6.93,8.47,5.67,5.67,8.47,5.67,5.67,6.93,8.47,8.47,5.67,6.93,5.67,6.93,8.47,8.47,8.47,8.47,8.47,6.93,5.67,6.93,8.47,6.93,8.47,8.47,6.93,8.47,8.47,6.93,6.93,6.93,6.93,5.67,6.93,8.47,6.93,5.67,5.67,6.93,6.93,6.93,6.93,8.47,8.47,8.47,6.93,6.93,6.93,5.67,5.67,5.67,6.93,6.93,5.67,6.93,5.67,6.93,8.47,6.93,6.93,6.93,5.67,6.93,6.93,8.47,8.47,8.47,6.93,6.93,6.93,6.93,6.93,6.93,8.47,6.93,6.93,8.47,8.47,8.47,8.47,5.67
7.62,6.24,6.24,6.24,6.24,6.24,7.62,6.24,6.24,9.32,7.62,6.24,9.32,7.62,6.24,5.1,9.32,7.62,7.62,9.32,6.24,5.1,7.62,5.1,5.1,7.62,7.62,9.32,6.24,7.62,6.24,6.24,9.32,7.62,7.62,7.62,7.62,6.24,5.1,7.62,7.62,7.62,7.62,9.32,7.62,9.32,9.32,6.24,6.24,7.62,6.24,5.1,7.62,9.32,6.24,5.1,6.24,7.62,7.62,6.24,6.24,9.32,9.32,7.62,6.24,6.24,6.24,5.1,6.24,6.24,7.62,6.24,5.1,7.62,6.24,6.24,9.32,6.24,6.24,7.62,5.1,6.24,6.24,7.62,7.62,9.32,6.24,7.62,7.62,7.62,7.62,7.62,9.32,6.24,7.62,9.32,9.32,9.32,9.32,6.24
6.86,6.86,5.62,5.62,5.62,6.86,6.86,6.86,6.86,8.39,8.38,5.62,8.39,6.86,6.86,5.61,10.25,6.86,8.38,8.39,6.86,5.61,8.38,5.61,5.61,6.86,8.38,10.25,5.62,8.38,6.86,5.62,10.25,8.38,8.38,8.38,6.86,6.86,5.61,8.38,8.38,8.38,8.38,10.25,8.38,10.25,8.39,5.62,5.62,6.86,6.86,4.59,6.86,10.25,6.86,4.59,5.62,8.38,6.86,6.86,6.86,8.39,10.25,8.38,5.62,6.86,5.62,4.59,5.62,5.62,6.86,5.62,5.61,6.86,6.86,5.62,8.39,6.86,5.62,6.86,5.61,6.86,6.86,6.86,8.38,10.25,6.86,8.38,6.86,6.86,8.38,8.38,8.39,6.86,8.38,8.39,10.25,8.39,8.39,5.62
7.55,7.55,6.18,6.18,5.06,7.55,7.55,7.55,6.17,7.55,9.22,5.06,7.55,6.17,6.17,6.17, ,7.55,7.54,9.23,7.55,5.05,9.22,6.17,6.17,7.55,7.54, ,5.06,9.22,6.17,5.06, ,9.22,7.54,9.22,7.55,6.17,5.05,9.22,7.54,7.54,9.22, ,7.54, ,7.55,6.18,5.06,7.55,6.17,5.05,6.17, ,6.17,4.13,6.18,7.54,6.17,6.17,7.55,9.23, ,9.22,5.06,7.55,5.06,4.13,6.18,6.18,7.55,6.18,5.05,7.55,7.55,5.06,9.23,7.55,6.18,7.55,5.05,7.55,7.55,6.17,9.22, ,6.17,7.54,7.55,6.17,9.22,7.54,9.23,6.17,9.22,9.23, ,7.55,9.23,5.06
8.31,8.31,5.56,6.8,5.57,8.31,6.79,6.79,6.79,6.79,10.14,5.57,8.31,6.79,5.55,5.55, ,8.31,6.79,10.15,8.31,5.56,10.14,6.79,6.79,8.31,8.29, ,5.57,8.3,6.79,5.57, ,10.14,8.29,10.14,8.31,6.79,5.56,8.3,8.29,8.29,10.14, ,8.29, ,8.31,6.8,5.57,8.31,6.79,4.54,5.55, ,5.55,4.54,6.8,6.79,5.55,5.55,8.31,10.15, ,8.3,5.57,8.31,5.57,3.72,5.56,5.56,8.31,6.8,5.56,6.79,8.31,5.57,8.31,6.79,5.56,8.31,5.56,8.31,8.31,5.55,10.14, ,5.55,8.29,8.31,6.79,10.14,8.29,8.31,6.79,10.14,10.15, ,6.79,8.31,5.57
7.48,7.48,6.12,7.48,5.01,7.48,6.11,6.11,6.11,7.47, ,6.13,9.14,7.47,4.99,6.11, ,7.48,6.11, ,9.14,6.12, ,6.11,7.47,9.14,9.12, ,6.13,9.13,6.11,5.01, , ,7.46, ,9.14,7.47,5.0,9.13,7.46,7.46, , ,9.12, ,7.48,6.12,6.13,9.14,6.11,4.09,4.99, ,6.11,4.99,7.48,7.47,4.99,6.11,9.14, , ,9.13,5.01,7.48,5.01,3.35,5.0,5.0,9.14,7.48,6.12,7.47,7.48,5.01,9.14,7.47,5.0,7.48,6.12,7.48,9.14,4.99, , ,6.11,7.46,9.14,6.11, ,9.12,7.48,7.47, , , ,7.47,9.14,5.01
6.73,8.23,6.73,6.73,4.51,6.73,6.72,6.72,6.72,6.72, ,5.52,8.23,8.22,4.49,5.5, ,8.23,5.5, ,10.05,5.51, ,5.5,8.22,10.05,8.21, ,6.74,10.04,6.72,5.51, , ,6.71, ,10.05,8.22,4.5,8.22,8.21,8.21, , ,8.21, ,6.73,5.51,5.52,8.23,6.72,4.5,4.49, ,5.5,4.49,8.23,6.72,4.49,6.72,8.23, , ,10.04,4.51,8.23,5.51,3.01,5.5,4.5,8.23,6.73,6.73,8.22,8.23,4.51,8.23,8.22,5.5,8.23,5.51,8.23,10.05,5.49, , ,6.72,8.21,8.23,5.5, ,10.03,8.23,8.22, , , ,6.72,8.23,4.51
7.4,7.41,7.4,6.06,4.96,7.4,7.39,7.39,6.05,7.39, ,4.97,9.05,7.4,4.04,6.05, ,7.41,4.95, , ,6.06, ,4.95,7.4, ,9.03, ,7.41, ,7.39,4.96, , ,7.38, , ,9.04,4.95,7.4,9.03,9.03, , ,9.03, ,6.06,6.06,6.07,7.41,6.05,4.95,4.04, ,6.05,4.94,7.41,7.39,4.04,6.05,7.41, , , ,4.96,7.41,6.06,3.31,6.05,4.05,7.41,7.4,6.06,7.4,7.41,4.96,7.41,9.04,6.05,9.05,6.06,9.05, ,4.94, , ,6.05,9.03,9.05,4.95, , ,7.41,9.04, , , ,7.39,9.05,4.96
