Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2.4,3.6,2.4,3.6,3.6,3.6,3.6,3.6,2.4,3.6,2.4,3.6,3.6,3.6,2.4,3.6,2.4,3.6,3.6,3.6,3.6,3.6,2.4,3.6,3.6,2.4,3.6,3.6,2.4,3.6,2.4,3.6,2.4,3.6,3.6,3.6,3.6,2.4,2.4,3.6,3.6,2.4,3.6,3.6,3.6,2.4,2.4,2.4,3.6,3.6,3.6,3.6,2.4,2.4,2.4,3.6,3.6,3.6,2.4,2.4,2.4,3.6,2.4,3.6,3.6,3.6,2.4,2.4,2.4,3.6,2.4,2.4,3.6,2.4,3.6,2.4,3.6,2.4,3.6,2.4,3.6,2.4,2.4,2.4,3.6,3.6,2.4,3.6,3.6,3.6,3.6,2.4,3.6,3.6,3.6,3.6,2.4,2.4,2.4,2.4
1.92,4.32,2.88,2.88,2.88,2.88,2.88,2.88,1.92,2.88,2.88,2.88,4.32,2.88,2.88,4.32,2.88,4.32,4.32,4.32,2.88,4.32,1.92,4.32,4.32,2.88,2.88,4.32,1.92,4.32,1.92,4.32,2.88,4.32,4.32,4.32,2.88,1.92,2.88,4.32,2.88,1.92,4.32,2.88,4.32,2.88,1.92,1.92,4.32,4.32,4.32,4.32,2.88,1.92,1.92,4.32,2.88,4.32,2.88,1.92,1.92,2.88,2.88,4.32,4.32,4.32,2.88,2.88,2.88,2.88,2.88,2.88,4.32,1.92,4.32,2.88,4.32,2.88,2.88,2.88,2.88,1.92,1.92,1.92,4.32,2.88,2.88,2.88,2.88,4.32,4.32,2.88,2.88,4.32,2.88,4.32,2.88,2.88,2.88,2.88
1.54,5.18,3.46,3.46,3.46,2.3,3.46,2.3,2.3,3.46,2.3,3.46,5.18,3.46,2.3,5.18,3.46,3.46,5.18,3.46,3.46,5.18,2.3,5.18,5.18,2.3,2.3,5.18,2.3,5.18,2.3,5.18,2.3,5.18,5.18,5.18,3.46,2.3,3.46,3.46,3.46,2.3,3.46,3.46,5.18,3.46,2.3,2.3,5.18,5.18,5.18,3.46,2.3,1.54,2.3,5.18,2.3,3.46,3.46,2.3,2.3,2.3,3.46,5.18,5.18,5.18,2.3,2.3,3.46,3.46,2.3,2.3,5.18,2.3,5.18,3.46,3.46,3.46,3.46,3.46,2.3,2.3,2.3,1.54,3.46,3.46,3.46,3.46,3.46,3.46,5.18,2.3,2.3,5.18,3.46,3.46,3.46,3.46,2.3,2.3
1.23,4.14,4.15,2.77,2.77,2.76,2.77,2.76,2.76,4.15,2.76,2.77,4.14,2.77,1.84,6.22,4.15,2.77,6.22,4.15,4.15,6.22,2.76,4.14,6.22,1.84,2.76,6.22,1.84,4.14,2.76,4.14,2.76,4.14,6.22,4.14,2.77,2.76,2.77,4.15,4.15,2.76,2.77,2.77,4.14,2.77,1.84,1.84,4.14,4.14,6.22,4.15,1.84,1.85,2.76,6.22,2.76,2.77,4.15,2.76,2.76,1.84,4.15,4.14,6.22,4.14,2.76,1.84,4.15,2.77,2.76,1.84,6.22,1.84,6.22,2.77,2.77,2.77,2.77,2.77,2.76,1.84,1.84,1.85,4.15,2.77,2.77,2.77,2.77,2.77,6.22,2.76,1.84,6.22,4.15,4.15,2.77,4.15,1.84,2.76
1.48,4.97,3.32,3.32,2.22,2.21,3.32,2.21,3.31,4.98,3.31,2.22,3.31,3.32,2.21,7.46,3.32,2.22,7.46,4.98,4.98,7.46,3.31,4.97,4.98,1.47,2.21,4.98,1.47,4.97,3.31,4.97,2.21,3.31,7.46,3.31,3.32,2.21,2.22,3.32,3.32,3.31,3.32,2.22,4.97,2.22,1.47,2.21,3.31,4.97,7.46,4.98,1.47,2.22,2.21,4.98,3.31,2.22,4.98,2.21,3.31,2.21,3.32,4.97,7.46,3.31,3.31,1.47,4.98,2.22,3.31,1.47,7.46,2.21,4.98,3.32,3.32,3.32,3.32,3.32,2.21,1.47,2.21,2.22,4.98,2.22,3.32,2.22,3.32,3.32,7.46,3.31,1.47,7.46,3.32,4.98,3.32,3.32,2.21,2.21
1.78,3.98,3.98,3.98,2.66,1.77,2.66,1.77,2.65,5.98,2.65,1.78,3.97,2.66,2.65,5.97,2.66,1.78,5.97,5.98,5.98,8.95,2.65,5.96,5.98,1.76,2.65,3.98,1.76,5.96,3.97,5.96,1.77,3.97,5.97,3.97,2.66,1.77,2.66,2.66,3.98,2.65,3.98,1.78,3.98,2.66,1.18,1.77,3.97,5.96,5.97,5.98,1.76,1.78,1.77,3.98,3.97,2.66,5.98,2.65,3.97,1.77,3.98,3.98,8.95,3.97,3.97,1.76,5.98,2.66,2.65,1.76,8.95,1.77,3.98,3.98,2.66,3.98,2.66,3.98,2.65,1.76,2.65,1.78,3.98,1.78,3.98,2.66,3.98,3.98,5.97,3.97,1.76,5.97,2.66,5.98,2.66,3.98,2.65,2.65
1.42,3.18,4.78,4.78,3.19,1.42,3.19,2.12,2.12,4.78,3.18,2.14,4.76,3.19,3.18,7.16,3.19,2.14,4.78,7.18,7.18,10.74,2.12,4.77,4.78,1.41,2.12,4.78,2.11,4.77,4.76,7.15,1.42,3.18,4.78,3.18,2.13,1.42,3.19,3.19,4.78,3.18,4.78,1.42,4.78,3.19,1.42,1.42,4.76,4.77,7.16,7.18,2.11,1.42,2.12,3.18,4.76,3.19,7.18,3.18,4.76,2.12,3.18,3.18,7.16,4.76,3.18,1.41,7.18,2.13,3.18,2.11,7.16,2.12,4.78,4.78,3.19,4.78,2.13,4.78,3.18,2.11,3.18,2.14,4.78,1.42,4.78,3.19,3.18,3.18,4.78,3.18,1.41,4.78,2.13,7.18,2.13,4.78,3.18,3.18
1.14,3.82,3.82,5.74,3.83,1.7,3.83,2.54,2.54,5.74,3.82,2.57,3.81,3.83,3.82,5.73,3.83,2.57,5.74,5.74,5.74, ,1.7,3.82,3.82,1.69,2.54,3.82,2.53,5.72,3.81,8.58,1.7,3.82,3.82,3.82,2.56,1.14,3.83,2.55,5.74,2.54,3.82,1.7,3.82,2.55,1.7,1.14,5.71,5.72,8.59,5.74,2.53,1.7,2.54,3.82,5.71,3.83,8.62,3.82,3.81,1.7,3.82,2.54,8.59,5.71,2.54,1.69,8.62,2.56,3.82,2.53,8.59,2.54,3.82,3.82,3.83,5.74,1.7,3.82,2.54,2.53,2.54,2.57,3.82,1.7,5.74,3.83,3.82,2.54,3.82,3.82,1.69,5.74,2.56,8.62,1.7,5.74,3.82,3.82
1.37,4.58,4.58,4.59,3.06,1.36,4.6,3.05,3.05,6.89,3.06,3.08,3.05,4.6,3.06,6.88,4.6,3.08,6.89,6.89,6.89, ,2.04,4.58,3.06,2.03,3.05,4.58,3.04,4.58,4.57,6.86,2.04,4.58,4.58,4.58,3.07,1.37,3.06,3.06,4.59,2.03,4.58,1.36,3.06,3.06,2.04,0.91,4.57,6.86,6.87,4.59,3.04,2.04,2.03,4.58,6.85,3.06,6.9,4.58,3.05,2.04,4.58,3.05,10.31,6.85,3.05,1.35,10.34,3.07,4.58,3.04,10.31,3.05,4.58,4.58,4.6,6.89,2.04,4.58,3.05,3.04,2.03,3.08,4.58,1.36,4.59,3.06,4.58,2.03,3.06,4.58,2.03,6.89,3.07,6.9,2.04,4.59,4.58,4.58
