Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30,Trial_31,Trial_32,Trial_33,Trial_34,Trial_35,Trial_36,Trial_37,Trial_38,Trial_39,Trial_40,Trial_41,Trial_42,Trial_43,Trial_44,Trial_45,Trial_46,Trial_47,Trial_48,Trial_49,Trial_50,Trial_51,Trial_52,Trial_53,Trial_54,Trial_55,Trial_56,Trial_57,Trial_58,Trial_59,Trial_60,Trial_61,Trial_62,Trial_63,Trial_64,Trial_65,Trial_66,Trial_67,Trial_68,Trial_69,Trial_70,Trial_71,Trial_72,Trial_73,Trial_74,Trial_75,Trial_76,Trial_77,Trial_78,Trial_79,Trial_80,Trial_81,Trial_82,Trial_83,Trial_84,Trial_85,Trial_86,Trial_87,Trial_88,Trial_89,Trial_90,Trial_91,Trial_92,Trial_93,Trial_94,Trial_95,Trial_96,Trial_97,Trial_98,Trial_99,Trial_100
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8.4,8.4,8.4,8.4,5.6,5.6,5.6,8.4,5.6,8.4,5.6,8.4,5.6,5.6,8.4,8.4,5.6,8.4,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,5.6,8.4,8.4,5.6,5.6,8.4,5.6,8.4,5.6,5.6,5.6,8.4,8.4,8.4,5.6,5.6,8.4,8.4,8.4,5.6,8.4,8.4,8.4,5.6,8.4,5.6,8.4,5.6,8.4,8.4,8.4,8.4,8.4,8.4,5.6,5.6,5.6,8.4,5.6,8.4,5.6,8.4,8.4,5.6,5.6,8.4,8.4,5.6,8.4,8.4,8.4,8.4,8.4,8.4,8.4,5.6,5.6,8.4,8.4,8.4,5.6,8.4,5.6,5.6,5.6,5.6,8.4,8.4,8.4,8.4,5.6,5.6
10.08,10.08,10.08,10.08,6.72,4.48,6.72,6.72,6.72,10.08,6.72,6.72,6.72,6.72,10.08,10.08,4.48,6.72,4.48,6.72,10.08,10.08,10.08,10.08,6.72,6.72,10.08,10.08,6.72,10.08,10.08,4.48,6.72,10.08,6.72,10.08,4.48,6.72,4.48,6.72,10.08,6.72,6.72,6.72,6.72,6.72,10.08,4.48,10.08,6.72,10.08,6.72,6.72,6.72,10.08,6.72,10.08,10.08,10.08,10.08,6.72,6.72,4.48,4.48,6.72,6.72,6.72,10.08,4.48,10.08,10.08,6.72,4.48,6.72,6.72,6.72,10.08,6.72,6.72,10.08,10.08,6.72,10.08,6.72,6.72,10.08,6.72,6.72,6.72,10.08,6.72,6.72,4.48,6.72,6.72,10.08,10.08,10.08,4.48,4.48
 , , , ,8.06,5.38,5.38,5.38,8.06, ,8.06,8.06,8.06,8.06, , ,3.58,8.06,5.38,8.06, , , , ,8.06,8.06, , ,8.06, , ,5.38,8.06, ,5.38, ,5.38,5.38,5.38,8.06, ,8.06,8.06,5.38,8.06,8.06, ,5.38, ,8.06, ,8.06,5.38,8.06, ,5.38, , , , ,8.06,8.06,3.58,3.58,8.06,5.38,8.06, ,5.38, , ,5.38,3.58,8.06,8.06,5.38, ,5.38,8.06, , ,8.06, ,5.38,5.38, ,8.06,5.38,8.06, ,5.38,5.38,3.58,8.06,8.06, , , ,3.58,5.38
 , , , ,6.45,6.46,6.46,6.46,9.67, ,9.67,9.67,9.67,9.67, , ,2.86,9.67,6.46,9.67, , , , ,6.45,6.45, , ,9.67, , ,6.46,6.45, ,4.3, ,4.3,4.3,4.3,9.67, ,6.45,6.45,4.3,6.45,6.45, ,6.46, ,9.67, ,9.67,4.3,9.67, ,6.46, , , , ,6.45,9.67,4.3,4.3,9.67,4.3,6.45, ,4.3, , ,6.46,4.3,9.67,9.67,4.3, ,4.3,6.45, , ,6.45, ,6.46,6.46, ,9.67,4.3,9.67, ,4.3,6.46,4.3,9.67,6.45, , , ,2.86,4.3
 , , , ,7.74,7.75,7.75,7.75,11.6, ,11.6,7.74,7.74,7.74, , ,2.29,7.74,7.75,7.74, , , , ,5.16,7.74, , ,11.6, , ,5.17,5.16, ,5.16, ,3.44,5.16,5.16,11.6, ,7.74,7.74,3.44,5.16,5.16, ,7.75, ,11.6, ,7.74,5.16,11.6, ,7.75, , , , ,7.74,7.74,5.16,3.44,11.6,5.16,5.16, ,3.44, , ,7.75,5.16,7.74,11.6,5.16, ,5.16,7.74, , ,7.74, ,5.17,7.75, ,7.74,3.44,7.74, ,3.44,7.75,5.16,11.6,7.74, , , ,3.43,5.16
 , , , ,9.29,9.3,9.3,9.3, , , ,9.29,6.19,9.29, , ,2.75,6.19,6.2,9.29, , , , ,6.19,9.29, , , , , ,4.14,4.13, ,4.13, ,4.13,6.19,6.19, , ,9.29,9.29,4.13,6.19,6.19, ,6.2, , , ,6.19,6.19, , ,6.2, , , , ,6.19,6.19,4.13,4.13, ,6.19,4.13, ,4.13, , ,6.2,6.19,6.19, ,6.19, ,6.19,6.19, , ,6.19, ,4.14,9.3, ,6.19,2.75,6.19, ,4.13,6.2,6.19, ,6.19, , , ,4.12,6.19
 , , , ,11.15,7.44,7.44,11.16, , , ,11.15,7.43,7.43, , ,3.3,7.43,7.44,11.15, , , , ,4.95,11.15, , , , , ,4.97,3.3, ,4.96, ,3.3,4.95,4.95, , ,11.15,11.15,4.96,4.95,4.95, ,4.96, , , ,4.95,4.95, , ,7.44, , , , ,4.95,4.95,4.96,3.3, ,7.43,3.3, ,3.3, , ,4.96,7.43,7.43, ,4.95, ,7.43,7.43, , ,4.95, ,3.31,7.44, ,4.95,3.3,4.95, ,4.96,4.96,4.95, ,7.43, , , ,3.3,7.43
 , , , , ,8.93,8.93, , , , , ,5.94,5.94, , ,3.96,5.94,8.93, , , , , ,5.94, , , , , , ,5.96,2.64, ,5.95, ,3.96,5.94,3.96, , , , ,5.95,3.96,5.94, ,5.95, , , ,5.94,3.96, , ,8.93, , , , ,5.94,5.94,3.97,3.96, ,8.92,2.64, ,3.96, , ,3.97,8.92,5.94, ,3.96, ,5.94,8.92, , ,5.94, ,2.65,5.95, ,3.96,2.64,3.96, ,3.97,5.95,3.96, ,8.92, , , ,2.64,8.92
 , , , , ,10.72,7.14, , , , , ,7.13,4.75, , ,4.75,4.75,7.14, , , , , ,7.13, , , , , , ,4.77,2.11, ,7.14, ,4.75,7.13,3.17, , , , ,7.14,4.75,4.75, ,7.14, , , ,4.75,4.75, , ,7.14, , , , ,7.13,7.13,4.76,4.75, ,10.7,3.17, ,4.75, , ,4.76,10.7,7.13, ,3.17, ,4.75,10.7, , ,7.13, ,3.18,7.14, ,4.75,3.17,3.17, ,4.76,4.76,4.75, ,7.14, , , ,2.11,10.7
